ID	NA-
AC025263.2	1.8595
AC025283.2	0
AC025287.4	0
AC026316.4	0.2221
AC026464.1	0
AC026464.3	1.4932
AC026464.4	0.3955
AC026464.6	2.6234
AC026786.1	0
AC026954.2	0.9518
AC027644.4	0
AC027796.3	1.3325
AC034102.2	0
AC034228.3	0.1876
AC036214.3	0
AC037459.1	0
AC040162.1	0.2116
AC046185.1	0.0439
AC048338.1	0
AC048338.2	0.0691
AC053503.6	3.6492
AC055811.2	3.4898
AC055839.2	1.4076
AC058822.1	0
AC063943.2	0
AC067968.1	0.0161
AC068234.1	0.9216
AC068533.4	0
AC068547.1	0
AC068580.4	0
AC068631.2	0.1385
AC068775.1	0
AC068831.6	0.1513
AC068870.4	0
AC068896.1	0.0119
AC068946.1	0
AC068946.2	0
AC069257.3	0.1317
AC069288.1	0
AC069368.1	0.0609
AC069444.2	0.1464
AC069503.2	0
AC069544.2	0
AC072022.2	0
AC073082.1	0
AC073111.3	0
AC073283.3	0
AC073508.2	0
AC073585.1	0.7225
AC073610.2	0
AC073612.1	0
AC073896.1	189.0548
AC074143.1	2.7419
AC078815.1	1.1287
AC078927.1	0.4262
AC079447.1	0.962
AC079594.1	0
AC079741.2	0
AC083800.1	0.9012
AC083977.1	0
AC084337.2	0
AC084756.2	0
AC087289.3	0.7954
AC087632.2	0
AC087721.2	0
AC090004.1	0.6433
AC090227.2	0.0504
AC090360.1	0.104
AC090517.4	0
AC090527.2	0.0159
AC091057.5	0.6236
AC091167.2	0.4925
AC091167.6	0.63
AC091167.7	1.1194
AC091551.1	0.143
AC091959.1	1.3959
AC092017.2	0
AC092042.3	0
AC092073.1	4.3767
AC092111.3	0
AC092143.1	6.7372
AC092329.3	2.9491
AC092442.1	0.1058
AC092587.1	0
AC092647.5	0.1276
AC092718.3	0
AC092718.8	0
AC092835.1	0
AC093155.3	0
AC093227.2	4.5075
AC093246.1	0
AC093323.1	22.8782
AC093423.3	1.219
AC093512.2	0
AC093525.1	0
AC093525.2	5.1053
AC093668.1	0
AC093827.5	0
AC093884.1	0
AC093899.2	0
AC096887.1	0
AC097104.1	0.2151
AC097625.1	0
AC097634.4	0.8585
AC097636.1	1.1865
AC097637.1	0
AC098484.3	0
AC098582.1	0.1989
AC098588.2	1.0706
AC098650.1	0
AC098850.3	0
AC099489.1	9.9541
AC099569.1	0
AC099811.2	0.4462
AC099850.2	0.8252
AC100868.1	0.055
AC104109.3	0.2133
AC104304.2	0
AC104389.5	3.9177
AC104389.6	0
AC104452.1	0.4587
AC104472.3	0.0303
AC104532.1	0
AC104581.2	0.9132
AC105001.2	0
AC105052.1	0
AC105052.3	0.2666
AC106741.1	0.034
AC106873.8	0
AC106886.5	0.7945
AC107871.1	1.3149
AC107959.5	0.1146
AC108488.2	0
AC108941.3	10.7124
AC109583.1	0.2914
AC110275.1	0
AC112128.1	0
AC112229.3	0.537
AC112504.2	0.1849
AC113189.12	0
AC113348.1	0.0856
AC113348.2	0.0767
AC113554.1	2.2423
AC114402.2	0
AC114490.2	3.9383
AC114490.3	0
AC114982.2	0
AC116366.2	0
AC117378.1	0.2713
AC117457.1	1.3857
AC118470.1	0
AC118553.2	0
AC119396.1	0
AC119674.2	0
AC119676.1	0.2589
AC119733.1	0
AC120057.2	0.1474
AC120114.4	4.0896
AC124312.1	0.3216
AC126283.2	0
